"id","name","country","clubs","players","totalmarketvalue","meanmarketvalue","ranking","updatedat"
"ARG1","Torneo Apertura","Argentina",30,926,"989600000","32990000",1,"2025-10-12T17:25:31.139517"
"BO1A","División Profesional","Bolivia",16,495,"85360000","5330000",1,"2025-10-12T17:25:31.784841"
"BRA1","Campeonato Brasileiro Série A","Brazil",20,659,"1820000000","90910000",1,"2025-10-12T17:25:32.344501"
"CLPD","Liga de Primera","Chile",16,425,"176970000","11060000",1,"2025-10-12T17:25:33.063337"
"COL1","Liga Dimayor Finalización","Colombia",20,595,"199800000","9990000",1,"2025-10-12T17:25:33.819790"
"EC1N","LigaPro Serie A","Ecuador",16,434,"164760000","10300000",1,"2025-10-12T17:25:34.321905"
"PR1A","Primera División Apertura","Paraguay",12,371,"124900000","10410000",1,"2025-10-12T17:25:34.811099"
"TDeC","Liga 1 Clausura","Peru",18,519,"135460000","7530000",1,"2025-10-12T17:25:35.536626"
"URU1","Liga AUF Apertura","Uruguay",16,458,"167940000","10500000",1,"2025-10-12T17:25:36.288163"
"VZ1A","Liga FUTVE Apertura","Venezuela",14,397,"74560000","5330000",1,"2025-10-12T17:25:37.020913"
"ARG2","Primera Nacional","Argentina",36,1043,"105510000","2930000",2,"2025-10-12T17:25:37.746275"
"BOL2","Copa Simón Bolívar (-2024)","Bolivia",17,407,"9710000","571000",2,"2025-10-12T17:25:38.410425"
"BRA2","Campeonato Brasileiro Série B","Brazil",20,701,"231130000","11560000",2,"2025-10-12T17:25:39.369680"
"CL2B","Liga de Ascenso","Chile",16,449,"73470000","4590000",2,"2025-10-12T17:25:40.101503"
"CO2T","Torneo DIMAYOR I","Colombia",16,520,"47120000","2940000",2,"2025-10-12T17:25:40.542707"
"EC2L","Liga Pro Serie B","Ecuador",12,323,"21670000","1810000",2,"2025-10-12T17:25:40.983612"
"PAR2","División Intermedia","Paraguay",16,467,"800000","50000",2,"2025-10-12T17:25:41.907727"
"PER2","Liga 2","Peru",15,431,"39090000","2610000",2,"2025-10-12T17:25:43.901195"
"URU2","Segunda División - Fase Regular","Uruguay",14,468,"47540000","3400000",2,"2025-10-12T17:25:46.768273"
"VN2A","Liga FUTVE 2","Venezuela",16,461,"13050000","816000",2,"2025-10-12T17:25:47.396519"
